comp,size,complexity,change_churn,total,minor,major,ownership,review_rate,review_churn_rate,self_reviews,too_quick,little_discussion,bugs
qtactiveqt.doc/src/snippets/code,0,0,926,3,0,3,0.333333333,0,0,0,0,0,0
qtactiveqt.examples/activeqt/comapp,155,18,14,2,0,2,0.5,1,1,1,1,1,0
qtactiveqt.examples/activeqt/dotnet/walkthrough,83,8,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/dotnet/wrapper,29,3,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.examples/activeqt/dotnet/wrapper/lib,72,9,84,2,0,2,0.5,1,1,0,1,1,0
qtactiveqt.examples/activeqt/hierarchy,86,9,42,2,0,2,0.5,1,1,0,1,1,0
qtactiveqt.examples/activeqt/menus,136,14,42,2,0,2,0.5,1,1,0,1,1,0
qtactiveqt.examples/activeqt/multiple,75,8,42,2,0,2,0.5,1,1,0,1,1,0
qtactiveqt.examples/activeqt/opengl,199,16,70,2,0,2,0.5,1,1,0,1,1,0
qtactiveqt.examples/activeqt/qutlook,216,31,46,3,0,3,0.333333333,1,1,0,2,2,0
qtactiveqt.examples/activeqt/simple,70,8,14,2,0,2,0.5,1,1,1,1,1,0
qtactiveqt.examples/activeqt/webbrowser,120,19,28,2,0,2,0.5,1,1,1,1,1,0
qtactiveqt.examples/activeqt/wrapper,100,27,14,2,0,2,0.5,1,1,1,1,1,0
qtactiveqt.src/activeqt/container,6293,1376,1339,10,0,10,0.222222222,1,1,2,4,1,1
qtactiveqt.src/activeqt/control,4821,1081,434,7,0,7,0.263157895,1,1,3,4,6,2
qtactiveqt.src/activeqt/doc/snippets,325,85,897,3,0,3,0.333333333,1,1,0,1,1,0
qtactiveqt.src/activeqt/shared,1257,310,823,6,0,6,0.222222222,1,1,1,3,1,1
qtactiveqt.src/tools/idc,264,63,50,2,0,2,0.5,1,1,1,1,1,0
qtactiveqt.tests/auto/cmake/test_modules/container,4,1,51,1,0,1,1,1,1,0,0,0,0
qtactiveqt.tests/auto/cmake/test_modules/server,11,2,60,1,0,1,1,1,1,1,0,0,0
qtactiveqt.tests/auto/dumpcpp,17,1,117,3,0,3,0.333333333,1,1,2,1,1,0
qtactiveqt.tests/auto/qaxobject,24,4,50,2,0,2,0.5,1,1,0,1,1,0
qtactiveqt.tools/dumpcpp,1360,259,843,6,0,6,0.333333333,1,1,3,1,4,0
qtactiveqt.tools/dumpdoc,91,17,55,3,0,3,0.333333333,1,1,1,1,2,0
qtactiveqt.tools/idc,0,0,0,0,0,0,0,0,0,0,0,0,0
qtactiveqt.tools/testcon,1002,158,693,5,0,5,0.2,1,1,0,2,3,4
qtactiveqt.tools/testcon/scripts,82,0,52,2,0,2,0.5,1,1,1,1,1,0
qtbase.config.profiles/harmattan,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.profiles/harmattan/mkspecs/linux-g++-cross,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/arch,12,1,57,3,0,3,0.333333333,1,1,1,1,0,0
qtbase.config.tests/common/avx,8,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/common/avx2,9,1,48,1,0,1,1,1,1,0,1,0,0
qtbase.config.tests/common/c++11,1,1,105,3,0,3,0.333333333,1,1,1,1,0,0
qtbase.config.tests/common/sse2,6,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/common/sse3,8,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/common/sse4_1,8,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/common/sse4_2,8,1,52,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/common/ssse3,8,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/mac,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/mac/crc,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/qpa/directfb,4,1,48,1,0,1,1,1,1,0,1,0,0
qtbase.config.tests/qpa/egl,8,1,52,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/qpa/kms,7,1,108,3,0,3,0.333333333,1,1,0,1,0,0
qtbase.config.tests/qpa/linuxfb,9,1,108,4,0,4,0.25,1,1,2,3,1,0
qtbase.config.tests/qpa/wayland,0,0,0,0,0,0,0,0,0,0,0,0,0
qtbase.config.tests/qpa/xcb,6,1,69,3,0,3,0.333333333,1,1,1,2,0,0
qtbase.config.tests/qpa/xcb-glx,11,1,59,2,0,2,0.5,1,1,0,0,0,0
qtbase.config.tests/qpa/xcb-poll-for-queued-event,0,0,112,2,0,2,0.5,0,0,0,0,0,0
qtbase.config.tests/qpa/xcb-render,18,1,50,2,0,2,0.5,1,1,1,1,0,0
qtbase.config.tests/qpa/xcb-syslibs,7,1,68,2,0,2,0.5,1,1,0,1,0,0
qtbase.config.tests/qpa/xcb-xkb,7,1,60,1,0,1,1,1,1,0,1,0,0
qtbase.config.tests/qpa/xcb-xlib,6,1,52,2,0,2,0.5,1,1,0,1,0,0
